Masaya Games	124	0	0	42	82	000.00	000.00	033.87	066.13
Gentosha	123	55	70	0	0	044.72	056.91	000.00	000.00
Sonic the Hedgehog Series	123	45	58	25	56	036.59	047.15	020.33	045.53
Cardfight!! Vanguard Series	122	60	48	40	31	049.18	039.34	032.79	025.41
Earth Star Entertainment	122	91	31	7	8	074.59	025.41	005.74	006.56
Kamen Rider Series	122	12	112	0	0	009.84	091.80	000.00	000.00
MSPaintAdventures	122	47	84	0	0	038.52	068.85	000.00	000.00
Voltage Inc.	122	0	0	0	122	000.00	000.00	000.00	100.00
Bande Dessinée	121	31	75	10	17	025.62	061.98	008.26	014.05
Battle Royale Genre	121	49	72	0	0	040.50	059.50	000.00	000.00
Fresh TV Inc.	121	56	66	0	0	046.28	054.55	000.00	000.00
Mega Man	121	4	11	5	114	003.31	009.09	004.13	094.21
Shinchosha	121	46	79	0	0	038.02	065.29	000.00	000.00
Spanish Media	121	29	62	13	20	023.97	051.24	010.74	016.53
When They Cry	121	51	32	31	11	042.15	026.45	025.62	009.09
Broccoli	120	45	54	36	22	037.50	045.00	030.00	018.33
Group TAC	120	44	69	3	5	036.67	057.50	002.50	004.17
Happy Elements	120	21	56	25	97	017.50	046.67	020.83	080.83
Pokémon Generation 1	120	62	86	22	30	051.67	071.67	018.33	025.00
Pokémon Generation 8	120	38	44	45	47	031.67	036.67	037.50	039.17
Tatsurou Iwamoto's Art	120	34	24	51	66	028.33	020.00	042.50	055.00
Tezuka Productions	120	43	41	13	23	035.83	034.17	010.83	019.17
Langrisser	119	0	0	41	78	000.00	000.00	034.45	065.55
Valve Corporation	119	8	19	40	79	006.72	015.97	033.61	066.39
Miho Shimogasa's Art	118	71	53	3	2	060.17	044.92	002.54	001.69
Yaegashi Nan's Art	118	31	2	114	4	026.27	001.69	096.61	003.39
Pokémon Generation 7	115	59	55	51	47	051.30	047.83	044.35	040.87
Souls Series	115	0	1	43	82	000.00	000.87	037.39	071.30
Frederator Studios	114	42	73	2	4	036.84	064.04	001.75	003.51
Kuaikan Manhua	114	46	68	0	0	040.35	059.65	000.00	000.00
NetEase Games	113	0	0	41	73	000.00	000.00	036.28	064.60
Discovery Family	112	87	27	2	0	077.68	024.11	001.79	000.00
Kaginado	112	66	28	12	8	058.93	025.00	010.71	007.14
Pokémon Generation 5	112	54	72	39	47	048.21	064.29	034.82	041.96
Ryohgo Narita's Works	112	48	68	1	1	042.86	060.71	000.89	000.89
South Korean Animation	112	25	43	30	32	022.32	038.39	026.79	028.57
Atsushi Ohkubo's Works	111	44	71	0	0	039.64	063.96	000.00	000.00
DeNA	111	7	17	54	49	006.31	015.32	048.65	044.14
Ikémen Series	111	0	0	1	110	000.00	000.00	000.90	099.10
Inti Creates	111	1	1	57	55	000.90	000.90	051.35	049.55
Rance	111	9	1	93	20	008.11	000.90	083.78	018.02
Twitch	111	34	78	0	3	030.63	070.27	000.00	002.70
Warriors Series	111	0	0	41	72	000.00	000.00	036.94	064.86
Bunnywalker	110	100	1	9	0	090.91	000.91	008.18	000.00
Hi-Rez Studios	110	0	0	58	53	000.00	000.00	052.73	048.18
Elibe Series	109	0	0	41	71	000.00	000.00	037.61	065.14
REDICE STUDIO	109	41	70	0	0	037.61	064.22	000.00	000.00
Shin-Ei Animation	109	49	62	2	1	044.95	056.88	001.83	000.92
Virtual Pets	109	28	13	37	42	025.69	011.93	033.94	038.53
Rejet	108	8	77	1	31	007.41	071.30	000.93	028.70
Sonic Team	108	9	21	45	77	008.33	019.44	041.67	071.30
Total Drama	108	49	60	0	0	045.37	055.56	000.00	000.00
Comico	107	42	68	0	0	039.25	063.55	000.00	000.00
LEGO	107	29	71	2	14	027.10	066.36	001.87	013.08
Sherlock Holmes and Pastiches	107	7	31	22	49	006.54	028.97	020.56	045.79
BBC	106	47	64	0	0	044.34	060.38	000.00	000.00
Disney Princess Films	106	36	72	1	0	033.96	067.92	000.94	000.00
Hiromu Arakawa's Works	106	37	71	1	0	034.91	066.98	000.94	000.00
Mangatoon	106	52	54	0	0	049.06	050.94	000.00	000.00
Pokémon Generation 6	106	54	43	48	37	050.94	040.57	045.28	034.91
Sanzigen	106	79	20	45	3	074.53	018.87	042.45	002.83
COVER Corporation	105	82	33	0	0	078.10	031.43	000.00	000.00
Nomad	105	79	25	13	4	075.24	023.81	012.38	003.81
Comic REX	104	73	17	23	9	070.19	016.35	022.12	008.65
LaLa	104	35	68	5	25	033.65	065.38	004.81	024.04
Rising Star Games	104	0	0	69	35	000.00	000.00	066.35	033.65
Studio 3Hz	104	44	52	1	39	042.31	050.00	000.96	037.50
Yuki Tabata's Works	104	41	66	0	0	039.42	063.46	000.00	000.00
